descriptorID	number	name	uniqueID
1829	A01	Body Regions	D001829
5	A01.047	Abdomen	D000005
34841	A01.047.025	Abdominal Cavity	D034841
10537	A01.047.025.600	Peritoneum	D010537
4312	A01.047.025.600.225	Douglas' Pouch	D004312
8643	A01.047.025.600.451	Mesentery	D008643
8646	A01.047.025.600.451.535	Mesocolon	D008646
9852	A01.047.025.600.573	Omentum	D009852
10529	A01.047.025.600.678	Peritoneal Cavity	D010529
54048	A01.047.025.600.700	Peritoneal Stomata	D054048
12187	A01.047.025.750	Retroperitoneal Space	D012187
34861	A01.047.050	Abdominal Wall	D034861
6119	A01.047.365	Groin	D006119
7264	A01.047.412	Inguinal Canal	D007264
14472	A01.047.849	Umbilicus	D014472
1415	A01.176	Back	D001415
8161	A01.176.519	Lumbosacral Region	D008161
12445	A01.176.780	Sacrococcygeal Region	D012445
1940	A01.236	Breast	D001940
42361	A01.236.249	Mammary Glands, Human	D042361
9558	A01.236.500	Nipples	D009558
5121	A01.378	Extremities	D005121
672	A01.378.100	Amputation Stumps	D000672
35002	A01.378.610	Lower Extremity	D035002
2081	A01.378.610.100	Buttocks	D002081
5528	A01.378.610.250	Foot	D005528
842	A01.378.610.250.149	Ankle	D000842
5545	A01.378.610.250.300	Forefoot, Human	D005545
8684	A01.378.610.250.300.480	Metatarsus	D008684
14034	A01.378.610.250.300.792	Toes	D014034
6214	A01.378.610.250.300.792.380	Hallux	D006214
6365	A01.378.610.250.510	Heel	D006365
6615	A01.378.610.400	Hip	D006615
7717	A01.378.610.450	Knee	D007717
7866	A01.378.610.500	Leg	D007866
13848	A01.378.610.750	Thigh	D013848
34941	A01.378.800	Upper Extremity	D034941
1132	A01.378.800.075	Arm	D001132
1365	A01.378.800.090	Axilla	D001365
4550	A01.378.800.420	Elbow	D004550
5542	A01.378.800.585	Forearm	D005542
6225	A01.378.800.667	Hand	D006225
5385	A01.378.800.667.430	Fingers	D005385
13933	A01.378.800.667.430.705	Thumb	D013933
8663	A01.378.800.667.572	Metacarpus	D008663
14953	A01.378.800.667.715	Wrist	D014953
12782	A01.378.800.750	Shoulder	D012782
6257	A01.456	Head	D006257
4423	A01.456.313	Ear	D004423
5145	A01.456.505	Face	D005145
2610	A01.456.505.173	Cheek	D002610
2680	A01.456.505.259	Chin	D002680
5123	A01.456.505.420	Eye	D005123
5138	A01.456.505.420.338	Eyebrows	D005138
5143	A01.456.505.420.504	Eyelids	D005143
5140	A01.456.505.420.504.421	Eyelashes	D005140
5546	A01.456.505.580	Forehead	D005546
9055	A01.456.505.631	Mouth	D009055
8046	A01.456.505.631.515	Lip	D008046
9666	A01.456.505.733	Nose	D009666
35421	A01.456.505.750	Parotid Region	D035421
12535	A01.456.810	Scalp	D012535
19291	A01.456.830	Skull Base	D019291
35262	A01.456.830.150	Cranial Fossa, Anterior	D035262
35301	A01.456.830.165	Cranial Fossa, Middle	D035301
3388	A01.456.830.200	Cranial Fossa, Posterior	D003388
9333	A01.598	Neck	D009333
10388	A01.673	Pelvis	D010388
17773	A01.673.600	Pelvic Floor	D017773
10502	A01.719	Perineum	D010502
13909	A01.911	Thorax	D013909
35423	A01.911.800	Thoracic Cavity	D035423
8482	A01.911.800.500	Mediastinum	D008482
35422	A01.911.800.650	Pleural Cavity	D035422
35441	A01.911.850	Thoracic Wall	D035441
14781	A01.960	Viscera	D014781
9141	A02	Musculoskeletal System	D009141
2356	A02.165	Cartilage	D002356
51472	A02.165.257	Elastic Cartilage	D051472
4425	A02.165.257.250	Ear Cartilage	D004425
7817	A02.165.257.625	Laryngeal Cartilages	D007817
1193	A02.165.257.625.083	Arytenoid Cartilage	D001193
3413	A02.165.257.625.211	Cricoid Cartilage	D003413
4825	A02.165.257.625.411	Epiglottis	D004825
13957	A02.165.257.625.870	Thyroid Cartilage	D013957
51445	A02.165.308	Fibrocartilage	D051445
7403	A02.165.308.410	Intervertebral Disk	D007403
8592	A02.165.308.500	Menisci, Tibial	D008592
51478	A02.165.308.800	Triangular Fibrocartilage	D051478
51457	A02.165.407	Hyaline Cartilage	D051457
2358	A02.165.407.150	Cartilage, Articular	D002358
7817	A02.165.407.500	Laryngeal Cartilages	D007817
1193	A02.165.407.500.083	Arytenoid Cartilage	D001193
3413	A02.165.407.500.211	Cricoid Cartilage	D003413
4825	A02.165.407.500.411	Epiglottis	D004825
13957	A02.165.407.500.870	Thyroid Cartilage	D013957
55171	A02.165.407.550	Nasal Cartilages	D055171
5205	A02.340	Fascia	D005205
5206	A02.340.424	Fascia Lata	D005206
8022	A02.513	Ligaments	D008022
1956	A02.513.170	Broad Ligament	D001956
8023	A02.513.514	Ligaments, Articular	D008023
16118	A02.513.514.100	Anterior Cruciate Ligament	D016118
17885	A02.513.514.162	Collateral Ligaments	D017885
17844	A02.513.514.162.500	Lateral Ligament, Ankle	D017844
17888	A02.513.514.162.600	Medial Collateral Ligament, Knee	D017888
17843	A02.513.514.287	Ligamentum Flavum	D017843
17846	A02.513.514.350	Longitudinal Ligaments	D017846
17847	A02.513.514.475	Patellar Ligament	D017847
16119	A02.513.514.600	Posterior Cruciate Ligament	D016119
12404	A02.513.803	Round Ligament	D012404
9132	A02.633	Muscles	D009132
18482	A02.633.567	Muscle, Skeletal	D018482
9	A02.633.567.050	Abdominal Muscles	D000009
17773	A02.633.567.050.750	Pelvic Floor	D017773
17568	A02.633.567.050.800	Rectus Abdominis	D017568
5152	A02.633.567.400	Facial Muscles	D005152
7821	A02.633.567.500	Laryngeal Muscles	D007821
8410	A02.633.567.600	Masticatory Muscles	D008410
8406	A02.633.567.600.500	Masseter Muscle	D008406
11626	A02.633.567.600.700	Pterygoid Muscles	D011626
13703	A02.633.567.600.850	Temporal Muscle	D013703
9334	A02.633.567.650	Neck Muscles	D009334
9801	A02.633.567.700	Oculomotor Muscles	D009801
10156	A02.633.567.750	Palatal Muscles	D010156
10369	A02.633.567.775	Pectoralis Muscles	D010369
10609	A02.633.567.800	Pharyngeal Muscles	D010609
49631	A02.633.567.800.360	Esophageal Sphincter, Upper	D049631
55158	A02.633.567.800.680	Velopharyngeal Sphincter	D055158
16658	A02.633.567.825	Psoas Muscles	D016658
52097	A02.633.567.850	Quadriceps Muscle	D052097
12132	A02.633.567.900	Respiratory Muscles	D012132
3964	A02.633.567.900.300	Diaphragm	D003964
7366	A02.633.567.900.500	Intercostal Muscles	D007366
17006	A02.633.567.912	Rotator Cuff	D017006
13198	A02.633.567.950	Stapedius	D013198
13719	A02.633.567.975	Tensor Tympani	D013719
9130	A02.633.570	Muscle, Smooth	D009130
49630	A02.633.570.210	Esophageal Sphincter, Lower	D049630
9131	A02.633.570.491	Muscle, Smooth, Vascular	D009131
17540	A02.633.570.491.800	Tunica Media	D017540
9215	A02.633.570.500	Myometrium	D009215
9206	A02.633.580	Myocardium	D009206
10210	A02.633.580.680	Papillary Muscles	D010210
12863	A02.835	Skeleton	D012863
1842	A02.835.232	Bone and Bones	D001842
50281	A02.835.232.043	Bones of Lower Extremity	D050281
5529	A02.835.232.043.300	Foot Bones	D005529
8682	A02.835.232.043.300.492	Metatarsal Bones	D008682
13639	A02.835.232.043.300.710	Tarsal Bones	D013639
2111	A02.835.232.043.300.710.300	Calcaneus	D002111
13628	A02.835.232.043.300.710.780	Talus	D013628
50277	A02.835.232.043.300.800	Toe Phalanges	D050277
7867	A02.835.232.043.650	Leg Bones	D007867
5269	A02.835.232.043.650.247	Femur	D005269
5270	A02.835.232.043.650.247.343	Femur Head	D005270
5272	A02.835.232.043.650.247.510	Femur Neck	D005272
5360	A02.835.232.043.650.321	Fibula	D005360
10329	A02.835.232.043.650.624	Patella	D010329
13977	A02.835.232.043.650.883	Tibia	D013977
10384	A02.835.232.043.825	Pelvic Bones	D010384
77	A02.835.232.043.825.108	Acetabulum	D000077
7085	A02.835.232.043.825.434	Ilium	D007085
7512	A02.835.232.043.825.548	Ischium	D007512
11630	A02.835.232.043.825.781	Pubic Bone	D011630
1133	A02.835.232.087	Bones of Upper Extremity	D001133
50280	A02.835.232.087.090	Arm Bones	D050280
6811	A02.835.232.087.090.400	Humerus	D006811
11884	A02.835.232.087.090.700	Radius	D011884
14457	A02.835.232.087.090.850	Ulna	D014457
2968	A02.835.232.087.227	Clavicle	D002968
50276	A02.835.232.087.319	Hand Bones	D050276
2348	A02.835.232.087.319.150	Carpal Bones	D002348
51224	A02.835.232.087.319.150.150	Capitate Bone	D051224
51225	A02.835.232.087.319.150.400	Hamate Bone	D051225
12667	A02.835.232.087.319.150.500	Lunate Bone	D012667
51220	A02.835.232.087.319.150.600	Pisiform Bone	D051220
21361	A02.835.232.087.319.150.750	Scaphoid Bone	D021361
51222	A02.835.232.087.319.150.800	Trapezium Bone	D051222
51223	A02.835.232.087.319.150.805	Trapezoid Bone	D051223
51221	A02.835.232.087.319.150.831	Triquetrum Bone	D051221
50278	A02.835.232.087.319.350	Finger Phalanges	D050278
50279	A02.835.232.087.319.550	Metacarpal Bones	D050279
12540	A02.835.232.087.783	Scapula	D012540
174	A02.835.232.087.783.261	Acromion	D000174
18483	A02.835.232.169	Diaphyses	D018483
4838	A02.835.232.251	Epiphyses	D004838
6132	A02.835.232.251.352	Growth Plate	D006132
6928	A02.835.232.409	Hyoid Bone	D006928
12716	A02.835.232.730	Sesamoid Bones	D012716
12886	A02.835.232.781	Skull	D012886
55762	A02.835.232.781.175	Cranial Fontanelles	D055762
3393	A02.835.232.781.200	Cranial Sutures	D003393
5004	A02.835.232.781.292	Ethmoid Bone	D005004
5147	A02.835.232.781.324	Facial Bones	D005147
7568	A02.835.232.781.324.502	Jaw	D007568
